SampleID;PlantID;Management;Medium;Organ;BacterialClass;Count
Conventional_Commercial_Leaf_P1;P1;Conventional;Commercial;Leaf;Bacilli;9
Conventional_Commercial_Leaf_P2;P2;Conventional;Commercial;Leaf;Bacilli;2
Conventional_Commercial_Leaf_P3;P3;Conventional;Commercial;Leaf;Bacilli;4
Conventional_Commercial_Leaf_P4;P4;Conventional;Commercial;Leaf;Bacilli;7
Conventional_Commercial_Leaf_P5;P5;Conventional;Commercial;Leaf;Bacilli;3
Conventional_Commercial_Leaf_P1;P1;Conventional;Commercial;Leaf;Actinomycetia;0
Conventional_Commercial_Leaf_P2;P2;Conventional;Commercial;Leaf;Actinomycetia;1
Conventional_Commercial_Leaf_P3;P3;Conventional;Commercial;Leaf;Actinomycetia;0
Conventional_Commercial_Leaf_P4;P4;Conventional;Commercial;Leaf;Actinomycetia;0
Conventional_Commercial_Leaf_P5;P5;Conventional;Commercial;Leaf;Actinomycetia;0
Conventional_Commercial_Leaf_P1;P1;Conventional;Commercial;Leaf;Gammaproteobacteria;3
Conventional_Commercial_Leaf_P2;P2;Conventional;Commercial;Leaf;Gammaproteobacteria;3
Conventional_Commercial_Leaf_P3;P3;Conventional;Commercial;Leaf;Gammaproteobacteria;2
Conventional_Commercial_Leaf_P4;P4;Conventional;Commercial;Leaf;Gammaproteobacteria;4
Conventional_Commercial_Leaf_P5;P5;Conventional;Commercial;Leaf;Gammaproteobacteria;2
Conventional_Natural_Leaf_P1;P1;Conventional;Natural;Leaf;Bacilli;6
Conventional_Natural_Leaf_P2;P2;Conventional;Natural;Leaf;Bacilli;1
Conventional_Natural_Leaf_P3;P3;Conventional;Natural;Leaf;Bacilli;5
Conventional_Natural_Leaf_P4;P4;Conventional;Natural;Leaf;Bacilli;3
Conventional_Natural_Leaf_P5;P5;Conventional;Natural;Leaf;Bacilli;1
Conventional_Natural_Leaf_P1;P1;Conventional;Natural;Leaf;Actinomycetia;0
Conventional_Natural_Leaf_P2;P2;Conventional;Natural;Leaf;Actinomycetia;0
Conventional_Natural_Leaf_P3;P3;Conventional;Natural;Leaf;Actinomycetia;0
Conventional_Natural_Leaf_P4;P4;Conventional;Natural;Leaf;Actinomycetia;1
Conventional_Natural_Leaf_P5;P5;Conventional;Natural;Leaf;Actinomycetia;0
Conventional_Natural_Leaf_P1;P1;Conventional;Natural;Leaf;Gammaproteobacteria;1
Conventional_Natural_Leaf_P2;P2;Conventional;Natural;Leaf;Gammaproteobacteria;0
Conventional_Natural_Leaf_P3;P3;Conventional;Natural;Leaf;Gammaproteobacteria;0
Conventional_Natural_Leaf_P4;P4;Conventional;Natural;Leaf;Gammaproteobacteria;1
Conventional_Natural_Leaf_P5;P5;Conventional;Natural;Leaf;Gammaproteobacteria;1
Wild_Commercial_Leaf_P1;P1;Wild;Commercial;Leaf;Bacilli;2
Wild_Commercial_Leaf_P2;P2;Wild;Commercial;Leaf;Bacilli;2
Wild_Commercial_Leaf_P3;P3;Wild;Commercial;Leaf;Bacilli;1
Wild_Commercial_Leaf_P4;P4;Wild;Commercial;Leaf;Bacilli;3
Wild_Commercial_Leaf_P5;P5;Wild;Commercial;Leaf;Bacilli;2
Wild_Commercial_Leaf_P1;P1;Wild;Commercial;Leaf;Actinomycetia;1
Wild_Commercial_Leaf_P2;P2;Wild;Commercial;Leaf;Actinomycetia;1
Wild_Commercial_Leaf_P3;P3;Wild;Commercial;Leaf;Actinomycetia;2
Wild_Commercial_Leaf_P4;P4;Wild;Commercial;Leaf;Actinomycetia;1
Wild_Commercial_Leaf_P5;P5;Wild;Commercial;Leaf;Actinomycetia;1
Wild_Commercial_Leaf_P1;P1;Wild;Commercial;Leaf;Gammaproteobacteria;1
Wild_Commercial_Leaf_P2;P2;Wild;Commercial;Leaf;Gammaproteobacteria;4
Wild_Commercial_Leaf_P3;P3;Wild;Commercial;Leaf;Gammaproteobacteria;2
Wild_Commercial_Leaf_P4;P4;Wild;Commercial;Leaf;Gammaproteobacteria;3
Wild_Commercial_Leaf_P5;P5;Wild;Commercial;Leaf;Gammaproteobacteria;8
Wild_Commercial_Leaf_P1;P1;Wild;Commercial;Leaf;Alphaproteobacteria;0
Wild_Commercial_Leaf_P2;P2;Wild;Commercial;Leaf;Alphaproteobacteria;0
Wild_Commercial_Leaf_P3;P3;Wild;Commercial;Leaf;Alphaproteobacteria;1
Wild_Commercial_Leaf_P4;P4;Wild;Commercial;Leaf;Alphaproteobacteria;0
Wild_Commercial_Leaf_P5;P5;Wild;Commercial;Leaf;Alphaproteobacteria;0
Wild_Natural_Leaf_P1;P1;Wild;Natural;Leaf;Gammaproteobacteria;1
Wild_Natural_Leaf_P2;P2;Wild;Natural;Leaf;Gammaproteobacteria;0
Wild_Natural_Leaf_P3;P3;Wild;Natural;Leaf;Gammaproteobacteria;0
Wild_Natural_Leaf_P4;P4;Wild;Natural;Leaf;Gammaproteobacteria;1
Wild_Natural_Leaf_P5;P5;Wild;Natural;Leaf;Gammaproteobacteria;1
Organic_Commercial_Bark_P1;P1;Organic;Commercial;Bark;Actinomycetia;1
Organic_Commercial_Bark_P2;P2;Organic;Commercial;Bark;Actinomycetia;0
Organic_Commercial_Bark_P3;P3;Organic;Commercial;Bark;Actinomycetia;0
Organic_Commercial_Bark_P4;P4;Organic;Commercial;Bark;Actinomycetia;1
Organic_Commercial_Bark_P5;P5;Organic;Commercial;Bark;Actinomycetia;1
Organic_Commercial_Bark_P1;P1;Organic;Commercial;Bark;Bacilli;4
Organic_Commercial_Bark_P2;P2;Organic;Commercial;Bark;Bacilli;4
Organic_Commercial_Bark_P3;P3;Organic;Commercial;Bark;Bacilli;2
Organic_Commercial_Bark_P4;P4;Organic;Commercial;Bark;Bacilli;3
Organic_Commercial_Bark_P5;P5;Organic;Commercial;Bark;Bacilli;4
Organic_Commercial_Bark_P1;P1;Organic;Commercial;Bark;Gammaproteobacteria;2
Organic_Commercial_Bark_P2;P2;Organic;Commercial;Bark;Gammaproteobacteria;6
Organic_Commercial_Bark_P3;P3;Organic;Commercial;Bark;Gammaproteobacteria;3
Organic_Commercial_Bark_P4;P4;Organic;Commercial;Bark;Gammaproteobacteria;2
Organic_Commercial_Bark_P5;P5;Organic;Commercial;Bark;Gammaproteobacteria;3
Organic_Natural_Bark_P1;P1;Organic;Natural;Bark;Gammaproteobacteria;1
Organic_Natural_Bark_P2;P2;Organic;Natural;Bark;Gammaproteobacteria;0
Organic_Natural_Bark_P3;P3;Organic;Natural;Bark;Gammaproteobacteria;0
Organic_Natural_Bark_P4;P4;Organic;Natural;Bark;Gammaproteobacteria;0
Organic_Natural_Bark_P5;P5;Organic;Natural;Bark;Gammaproteobacteria;0
Conventional_Commercial_Bark_P1;P1;Conventional;Commercial;Bark;Bacilli;4
Conventional_Commercial_Bark_P2;P2;Conventional;Commercial;Bark;Bacilli;1
Conventional_Commercial_Bark_P3;P3;Conventional;Commercial;Bark;Bacilli;2
Conventional_Commercial_Bark_P4;P4;Conventional;Commercial;Bark;Bacilli;3
Conventional_Commercial_Bark_P5;P5;Conventional;Commercial;Bark;Bacilli;2
Conventional_Commercial_Bark_P1;P1;Conventional;Commercial;Bark;Gammaproteobacteria;1
Conventional_Commercial_Bark_P2;P2;Conventional;Commercial;Bark;Gammaproteobacteria;2
Conventional_Commercial_Bark_P3;P3;Conventional;Commercial;Bark;Gammaproteobacteria;5
Conventional_Commercial_Bark_P4;P4;Conventional;Commercial;Bark;Gammaproteobacteria;1
Conventional_Commercial_Bark_P5;P5;Conventional;Commercial;Bark;Gammaproteobacteria;6
Conventional_Commercial_Bark_P1;P1;Conventional;Commercial;Bark;Actinomycetia;0
Conventional_Commercial_Bark_P2;P2;Conventional;Commercial;Bark;Actinomycetia;0
Conventional_Commercial_Bark_P3;P3;Conventional;Commercial;Bark;Actinomycetia;1
Conventional_Commercial_Bark_P4;P4;Conventional;Commercial;Bark;Actinomycetia;0
Conventional_Commercial_Bark_P5;P5;Conventional;Commercial;Bark;Actinomycetia;0
Conventional_Natural_Bark_P1;P1;Conventional;Natural;Bark;Alphaproteobacteria;0
Conventional_Natural_Bark_P2;P2;Conventional;Natural;Bark;Alphaproteobacteria;0
Conventional_Natural_Bark_P3;P3;Conventional;Natural;Bark;Alphaproteobacteria;0
Conventional_Natural_Bark_P4;P4;Conventional;Natural;Bark;Alphaproteobacteria;1
Conventional_Natural_Bark_P5;P5;Conventional;Natural;Bark;Alphaproteobacteria;1
Conventional_Natural_Bark_P1;P1;Conventional;Natural;Bark;Actinomycetia;4
Conventional_Natural_Bark_P2;P2;Conventional;Natural;Bark;Actinomycetia;4
Conventional_Natural_Bark_P3;P3;Conventional;Natural;Bark;Actinomycetia;2
Conventional_Natural_Bark_P4;P4;Conventional;Natural;Bark;Actinomycetia;6
Conventional_Natural_Bark_P5;P5;Conventional;Natural;Bark;Actinomycetia;3
Conventional_Natural_Bark_P1;P1;Conventional;Natural;Bark;Bacilli;3
Conventional_Natural_Bark_P2;P2;Conventional;Natural;Bark;Bacilli;5
Conventional_Natural_Bark_P3;P3;Conventional;Natural;Bark;Bacilli;5
Conventional_Natural_Bark_P4;P4;Conventional;Natural;Bark;Bacilli;4
Conventional_Natural_Bark_P5;P5;Conventional;Natural;Bark;Bacilli;6
Wild_Commercial_Bark_P1;P1;Wild;Commercial;Bark;Bacilli;2
Wild_Commercial_Bark_P2;P2;Wild;Commercial;Bark;Bacilli;1
Wild_Commercial_Bark_P3;P3;Wild;Commercial;Bark;Bacilli;1
Wild_Commercial_Bark_P4;P4;Wild;Commercial;Bark;Bacilli;2
Wild_Commercial_Bark_P5;P5;Wild;Commercial;Bark;Bacilli;2
Wild_Commercial_Bark_P1;P1;Wild;Commercial;Bark;Actinomycetia;3
Wild_Commercial_Bark_P2;P2;Wild;Commercial;Bark;Actinomycetia;3
Wild_Commercial_Bark_P3;P3;Wild;Commercial;Bark;Actinomycetia;4
Wild_Commercial_Bark_P4;P4;Wild;Commercial;Bark;Actinomycetia;3
Wild_Commercial_Bark_P5;P5;Wild;Commercial;Bark;Actinomycetia;2
Wild_Commercial_Bark_P1;P1;Wild;Commercial;Bark;Gammaproteobacteria;3
Wild_Commercial_Bark_P2;P2;Wild;Commercial;Bark;Gammaproteobacteria;6
Wild_Commercial_Bark_P3;P3;Wild;Commercial;Bark;Gammaproteobacteria;1
Wild_Commercial_Bark_P4;P4;Wild;Commercial;Bark;Gammaproteobacteria;7
Wild_Commercial_Bark_P5;P5;Wild;Commercial;Bark;Gammaproteobacteria;3
Wild_Commercial_Bark_P1;P1;Wild;Commercial;Bark;Alphaproteobacteria;0
Wild_Commercial_Bark_P2;P2;Wild;Commercial;Bark;Alphaproteobacteria;0
Wild_Commercial_Bark_P3;P3;Wild;Commercial;Bark;Alphaproteobacteria;1
Wild_Commercial_Bark_P4;P4;Wild;Commercial;Bark;Alphaproteobacteria;0
Wild_Commercial_Bark_P5;P5;Wild;Commercial;Bark;Alphaproteobacteria;0
Wild_Natural_Bark_P1;P1;Wild;Natural;Bark;Actinomycetia;0
Wild_Natural_Bark_P2;P2;Wild;Natural;Bark;Actinomycetia;0
Wild_Natural_Bark_P3;P3;Wild;Natural;Bark;Actinomycetia;0
Wild_Natural_Bark_P4;P4;Wild;Natural;Bark;Actinomycetia;1
Wild_Natural_Bark_P5;P5;Wild;Natural;Bark;Actinomycetia;0
Wild_Natural_Bark_P1;P1;Wild;Natural;Bark;Bacilli;0
Wild_Natural_Bark_P2;P2;Wild;Natural;Bark;Bacilli;1
Wild_Natural_Bark_P3;P3;Wild;Natural;Bark;Bacilli;0
Wild_Natural_Bark_P4;P4;Wild;Natural;Bark;Bacilli;0
Wild_Natural_Bark_P5;P5;Wild;Natural;Bark;Bacilli;0
Wild_Natural_Bark_P1;P1;Wild;Natural;Bark;Gammaproteobacteria;1
Wild_Natural_Bark_P2;P2;Wild;Natural;Bark;Gammaproteobacteria;1
Wild_Natural_Bark_P3;P3;Wild;Natural;Bark;Gammaproteobacteria;1
Wild_Natural_Bark_P4;P4;Wild;Natural;Bark;Gammaproteobacteria;2
Wild_Natural_Bark_P5;P5;Wild;Natural;Bark;Gammaproteobacteria;2
Organic_Commercial_Grape_P1;P1;Organic;Commercial;Grape;Bacilli;1
Organic_Commercial_Grape_P2;P2;Organic;Commercial;Grape;Bacilli;3
Organic_Commercial_Grape_P3;P3;Organic;Commercial;Grape;Bacilli;2
Organic_Commercial_Grape_P4;P4;Organic;Commercial;Grape;Bacilli;5
Organic_Commercial_Grape_P5;P5;Organic;Commercial;Grape;Bacilli;4
Organic_Commercial_Grape_P1;P1;Organic;Commercial;Grape;Actinomycetia;3
Organic_Commercial_Grape_P2;P2;Organic;Commercial;Grape;Actinomycetia;5
Organic_Commercial_Grape_P3;P3;Organic;Commercial;Grape;Actinomycetia;2
Organic_Commercial_Grape_P4;P4;Organic;Commercial;Grape;Actinomycetia;7
Organic_Commercial_Grape_P5;P5;Organic;Commercial;Grape;Actinomycetia;9
Organic_Commercial_Grape_P1;P1;Organic;Commercial;Grape;Gammaproteobacteria;0
Organic_Commercial_Grape_P2;P2;Organic;Commercial;Grape;Gammaproteobacteria;0
Organic_Commercial_Grape_P3;P3;Organic;Commercial;Grape;Gammaproteobacteria;0
Organic_Commercial_Grape_P4;P4;Organic;Commercial;Grape;Gammaproteobacteria;0
Organic_Commercial_Grape_P5;P5;Organic;Commercial;Grape;Gammaproteobacteria;1
Organic_Natural_Grape_P1;P1;Organic;Natural;Grape;Bacilli;0
Organic_Natural_Grape_P2;P2;Organic;Natural;Grape;Bacilli;0
Organic_Natural_Grape_P3;P3;Organic;Natural;Grape;Bacilli;1
Organic_Natural_Grape_P4;P4;Organic;Natural;Grape;Bacilli;1
Organic_Natural_Grape_P5;P5;Organic;Natural;Grape;Bacilli;1
Conventional_Commercial_Grape_P1;P1;Conventional;Commercial;Grape;Alphaproteobacteria;1
Conventional_Commercial_Grape_P2;P2;Conventional;Commercial;Grape;Alphaproteobacteria;0
Conventional_Commercial_Grape_P3;P3;Conventional;Commercial;Grape;Alphaproteobacteria;1
Conventional_Commercial_Grape_P4;P4;Conventional;Commercial;Grape;Alphaproteobacteria;1
Conventional_Commercial_Grape_P5;P5;Conventional;Commercial;Grape;Alphaproteobacteria;0
Conventional_Commercial_Grape_P1;P1;Conventional;Commercial;Grape;Bacilli;2
Conventional_Commercial_Grape_P2;P2;Conventional;Commercial;Grape;Bacilli;1
Conventional_Commercial_Grape_P3;P3;Conventional;Commercial;Grape;Bacilli;1
Conventional_Commercial_Grape_P4;P4;Conventional;Commercial;Grape;Bacilli;1
Conventional_Commercial_Grape_P5;P5;Conventional;Commercial;Grape;Bacilli;1
Conventional_Commercial_Grape_P1;P1;Conventional;Commercial;Grape;Actinomycetia;1
Conventional_Commercial_Grape_P2;P2;Conventional;Commercial;Grape;Actinomycetia;0
Conventional_Commercial_Grape_P3;P3;Conventional;Commercial;Grape;Actinomycetia;1
Conventional_Commercial_Grape_P4;P4;Conventional;Commercial;Grape;Actinomycetia;0
Conventional_Commercial_Grape_P5;P5;Conventional;Commercial;Grape;Actinomycetia;0
Conventional_Commercial_Grape_P1;P1;Conventional;Commercial;Grape;Gammaproteobacteria;0
Conventional_Commercial_Grape_P2;P2;Conventional;Commercial;Grape;Gammaproteobacteria;0
Conventional_Commercial_Grape_P3;P3;Conventional;Commercial;Grape;Gammaproteobacteria;0
Conventional_Commercial_Grape_P4;P4;Conventional;Commercial;Grape;Gammaproteobacteria;1
Conventional_Commercial_Grape_P5;P5;Conventional;Commercial;Grape;Gammaproteobacteria;1
Conventional_Natural_Grape_P1;P1;Conventional;Natural;Grape;Gammaproteobacteria;1
Conventional_Natural_Grape_P2;P2;Conventional;Natural;Grape;Gammaproteobacteria;0
Conventional_Natural_Grape_P3;P3;Conventional;Natural;Grape;Gammaproteobacteria;0
Conventional_Natural_Grape_P4;P4;Conventional;Natural;Grape;Gammaproteobacteria;0
Conventional_Natural_Grape_P5;P5;Conventional;Natural;Grape;Gammaproteobacteria;0
Conventional_Natural_Grape_P1;P1;Conventional;Natural;Grape;Bacilli;0
Conventional_Natural_Grape_P2;P2;Conventional;Natural;Grape;Bacilli;0
