SampleID;PlantID;Management;Medium;Organ;BacterialClass;Count
Leaf_P2;P2;Organic;Natural;Leaf;Gammaproteobacteria;0
Leaf_P3;P3;Organic;Natural;Leaf;Gammaproteobacteria;1
Leaf_P4;P4;Organic;Natural;Leaf;Gammaproteobacteria;1
Leaf_P5;P5;Organic;Natural;Leaf;Gammaproteobacteria;0
Leaf_P1;P1;Organic;Natural;Leaf;Bacilli;2
Leaf_P2;P2;Organic;Natural;Leaf;Bacilli;1
Leaf_P3;P3;Organic;Natural;Leaf;Bacilli;1
Leaf_P4;P4;Organic;Natural;Leaf;Bacilli;1
Leaf_P5;P5;Organic;Natural;Leaf;Bacilli;2
Leaf_P1;P1;Organic;Natural;Leaf;Actinomycetia;1
Leaf_P2;P2;Organic;Natural;Leaf;Actinomycetia;0
Leaf_P3;P3;Organic;Natural;Leaf;Actinomycetia;0
Leaf_P4;P4;Organic;Natural;Leaf;Actinomycetia;0
Leaf_P5;P5;Organic;Natural;Leaf;Actinomycetia;0
Leaf_P1;P1;Conventional;Commercial;Leaf;Bacilli;9
Leaf_P2;P2;Conventional;Commercial;Leaf;Bacilli;2
Leaf_P3;P3;Conventional;Commercial;Leaf;Bacilli;4
Leaf_P4;P4;Conventional;Commercial;Leaf;Bacilli;7
Leaf_P5;P5;Conventional;Commercial;Leaf;Bacilli;3
Leaf_P1;P1;Conventional;Commercial;Leaf;Actinomycetia;0
Leaf_P2;P2;Conventional;Commercial;Leaf;Actinomycetia;1
Leaf_P3;P3;Conventional;Commercial;Leaf;Actinomycetia;0
Leaf_P4;P4;Conventional;Commercial;Leaf;Actinomycetia;0
Leaf_P5;P5;Conventional;Commercial;Leaf;Actinomycetia;0
Leaf_P1;P1;Conventional;Commercial;Leaf;Gammaproteobacteria;3
Leaf_P2;P2;Conventional;Commercial;Leaf;Gammaproteobacteria;3
Leaf_P3;P3;Conventional;Commercial;Leaf;Gammaproteobacteria;2
Leaf_P4;P4;Conventional;Commercial;Leaf;Gammaproteobacteria;4
Leaf_P5;P5;Conventional;Commercial;Leaf;Gammaproteobacteria;2
Leaf_P1;P1;Conventional;Natural;Leaf;Bacilli;6
Leaf_P2;P2;Conventional;Natural;Leaf;Bacilli;1
Leaf_P3;P3;Conventional;Natural;Leaf;Bacilli;5
Leaf_P4;P4;Conventional;Natural;Leaf;Bacilli;3
Leaf_P5;P5;Conventional;Natural;Leaf;Bacilli;1
Leaf_P1;P1;Conventional;Natural;Leaf;Actinomycetia;0
Leaf_P2;P2;Conventional;Natural;Leaf;Actinomycetia;0
Leaf_P3;P3;Conventional;Natural;Leaf;Actinomycetia;0
Leaf_P4;P4;Conventional;Natural;Leaf;Actinomycetia;1
Leaf_P5;P5;Conventional;Natural;Leaf;Actinomycetia;0
Leaf_P1;P1;Conventional;Natural;Leaf;Gammaproteobacteria;1
Leaf_P2;P2;Conventional;Natural;Leaf;Gammaproteobacteria;0
Leaf_P3;P3;Conventional;Natural;Leaf;Gammaproteobacteria;0
Leaf_P4;P4;Conventional;Natural;Leaf;Gammaproteobacteria;1
Leaf_P5;P5;Conventional;Natural;Leaf;Gammaproteobacteria;1
Leaf_P1;P1;Wild;Commercial;Leaf;Bacilli;2
Leaf_P2;P2;Wild;Commercial;Leaf;Bacilli;2
Leaf_P3;P3;Wild;Commercial;Leaf;Bacilli;1
Leaf_P4;P4;Wild;Commercial;Leaf;Bacilli;3
Leaf_P5;P5;Wild;Commercial;Leaf;Bacilli;2
Leaf_P1;P1;Wild;Commercial;Leaf;Actinomycetia;1
Leaf_P2;P2;Wild;Commercial;Leaf;Actinomycetia;1
Leaf_P3;P3;Wild;Commercial;Leaf;Actinomycetia;2
Leaf_P4;P4;Wild;Commercial;Leaf;Actinomycetia;1
Leaf_P5;P5;Wild;Commercial;Leaf;Actinomycetia;1
Leaf_P1;P1;Wild;Commercial;Leaf;Gammaproteobacteria;1
Leaf_P2;P2;Wild;Commercial;Leaf;Gammaproteobacteria;4
Leaf_P3;P3;Wild;Commercial;Leaf;Gammaproteobacteria;2
Leaf_P4;P4;Wild;Commercial;Leaf;Gammaproteobacteria;3
Leaf_P5;P5;Wild;Commercial;Leaf;Gammaproteobacteria;8
Leaf_P1;P1;Wild;Commercial;Leaf;Alphaproteobacteria;0
Leaf_P2;P2;Wild;Commercial;Leaf;Alphaproteobacteria;0
Leaf_P3;P3;Wild;Commercial;Leaf;Alphaproteobacteria;1
Leaf_P4;P4;Wild;Commercial;Leaf;Alphaproteobacteria;0
Leaf_P5;P5;Wild;Commercial;Leaf;Alphaproteobacteria;0
Leaf_P1;P1;Wild;Natural;Leaf;Gammaproteobacteria;1
Leaf_P2;P2;Wild;Natural;Leaf;Gammaproteobacteria;0
Leaf_P3;P3;Wild;Natural;Leaf;Gammaproteobacteria;0
Leaf_P4;P4;Wild;Natural;Leaf;Gammaproteobacteria;1
Leaf_P5;P5;Wild;Natural;Leaf;Gammaproteobacteria;1
Bark_P1;P1;Organic;Commercial;Bark;Actinomycetia;1
Bark_P2;P2;Organic;Commercial;Bark;Actinomycetia;0
Bark_P3;P3;Organic;Commercial;Bark;Actinomycetia;0
Bark_P4;P4;Organic;Commercial;Bark;Actinomycetia;1
Bark_P5;P5;Organic;Commercial;Bark;Actinomycetia;1
Bark_P1;P1;Organic;Commercial;Bark;Bacilli;4
Bark_P2;P2;Organic;Commercial;Bark;Bacilli;4
Bark_P3;P3;Organic;Commercial;Bark;Bacilli;2
Bark_P4;P4;Organic;Commercial;Bark;Bacilli;3
Bark_P5;P5;Organic;Commercial;Bark;Bacilli;4
Bark_P1;P1;Organic;Commercial;Bark;Gammaproteobacteria;2
Bark_P2;P2;Organic;Commercial;Bark;Gammaproteobacteria;6
Bark_P3;P3;Organic;Commercial;Bark;Gammaproteobacteria;3
Bark_P4;P4;Organic;Commercial;Bark;Gammaproteobacteria;2
Bark_P5;P5;Organic;Commercial;Bark;Gammaproteobacteria;3
Bark_P1;P1;Organic;Natural;Bark;Gammaproteobacteria;1
Bark_P2;P2;Organic;Natural;Bark;Gammaproteobacteria;0
Bark_P3;P3;Organic;Natural;Bark;Gammaproteobacteria;0
Bark_P4;P4;Organic;Natural;Bark;Gammaproteobacteria;0
Bark_P5;P5;Organic;Natural;Bark;Gammaproteobacteria;0
Bark_P1;P1;Conventional;Commercial;Bark;Bacilli;4
Bark_P2;P2;Conventional;Commercial;Bark;Bacilli;1
Bark_P3;P3;Conventional;Commercial;Bark;Bacilli;2
Bark_P4;P4;Conventional;Commercial;Bark;Bacilli;3
Bark_P5;P5;Conventional;Commercial;Bark;Bacilli;2
Bark_P1;P1;Conventional;Commercial;Bark;Gammaproteobacteria;1
Bark_P2;P2;Conventional;Commercial;Bark;Gammaproteobacteria;2
Bark_P3;P3;Conventional;Commercial;Bark;Gammaproteobacteria;5
Bark_P4;P4;Conventional;Commercial;Bark;Gammaproteobacteria;1
Bark_P5;P5;Conventional;Commercial;Bark;Gammaproteobacteria;6
Bark_P1;P1;Conventional;Commercial;Bark;Actinomycetia;0
Bark_P2;P2;Conventional;Commercial;Bark;Actinomycetia;0
Bark_P3;P3;Conventional;Commercial;Bark;Actinomycetia;1
Bark_P4;P4;Conventional;Commercial;Bark;Actinomycetia;0
Bark_P5;P5;Conventional;Commercial;Bark;Actinomycetia;0
Bark_P1;P1;Conventional;Natural;Bark;Alphaproteobacteria;0
Bark_P2;P2;Conventional;Natural;Bark;Alphaproteobacteria;0
Bark_P3;P3;Conventional;Natural;Bark;Alphaproteobacteria;0
Bark_P4;P4;Conventional;Natural;Bark;Alphaproteobacteria;1
Bark_P5;P5;Conventional;Natural;Bark;Alphaproteobacteria;1
Bark_P1;P1;Conventional;Natural;Bark;Actinomycetia;4
Bark_P2;P2;Conventional;Natural;Bark;Actinomycetia;4
Bark_P3;P3;Conventional;Natural;Bark;Actinomycetia;2
Bark_P4;P4;Conventional;Natural;Bark;Actinomycetia;6
Bark_P5;P5;Conventional;Natural;Bark;Actinomycetia;3
Bark_P1;P1;Conventional;Natural;Bark;Bacilli;3
Bark_P2;P2;Conventional;Natural;Bark;Bacilli;5
Bark_P3;P3;Conventional;Natural;Bark;Bacilli;5
Bark_P4;P4;Conventional;Natural;Bark;Bacilli;4
Bark_P5;P5;Conventional;Natural;Bark;Bacilli;6
Bark_P1;P1;Wild;Commercial;Bark;Bacilli;2
Bark_P2;P2;Wild;Commercial;Bark;Bacilli;1
Bark_P3;P3;Wild;Commercial;Bark;Bacilli;1
Bark_P4;P4;Wild;Commercial;Bark;Bacilli;2
Bark_P5;P5;Wild;Commercial;Bark;Bacilli;2
Bark_P1;P1;Wild;Commercial;Bark;Actinomycetia;3
Bark_P2;P2;Wild;Commercial;Bark;Actinomycetia;3
Bark_P3;P3;Wild;Commercial;Bark;Actinomycetia;4
Bark_P4;P4;Wild;Commercial;Bark;Actinomycetia;3
Bark_P5;P5;Wild;Commercial;Bark;Actinomycetia;2
Bark_P1;P1;Wild;Commercial;Bark;Gammaproteobacteria;3
Bark_P2;P2;Wild;Commercial;Bark;Gammaproteobacteria;6
Bark_P3;P3;Wild;Commercial;Bark;Gammaproteobacteria;1
Bark_P4;P4;Wild;Commercial;Bark;Gammaproteobacteria;7
Bark_P5;P5;Wild;Commercial;Bark;Gammaproteobacteria;3
Bark_P1;P1;Wild;Commercial;Bark;Alphaproteobacteria;0
Bark_P2;P2;Wild;Commercial;Bark;Alphaproteobacteria;0
Bark_P3;P3;Wild;Commercial;Bark;Alphaproteobacteria;1
Bark_P4;P4;Wild;Commercial;Bark;Alphaproteobacteria;0
Bark_P5;P5;Wild;Commercial;Bark;Alphaproteobacteria;0
Bark_P1;P1;Wild;Natural;Bark;Actinomycetia;0
Bark_P2;P2;Wild;Natural;Bark;Actinomycetia;0
Bark_P3;P3;Wild;Natural;Bark;Actinomycetia;0
Bark_P4;P4;Wild;Natural;Bark;Actinomycetia;1
Bark_P5;P5;Wild;Natural;Bark;Actinomycetia;0
Bark_P1;P1;Wild;Natural;Bark;Bacilli;0
Bark_P2;P2;Wild;Natural;Bark;Bacilli;1
Bark_P3;P3;Wild;Natural;Bark;Bacilli;0
Bark_P4;P4;Wild;Natural;Bark;Bacilli;0
Bark_P5;P5;Wild;Natural;Bark;Bacilli;0
Bark_P1;P1;Wild;Natural;Bark;Gammaproteobacteria;1
Bark_P2;P2;Wild;Natural;Bark;Gammaproteobacteria;1
Bark_P3;P3;Wild;Natural;Bark;Gammaproteobacteria;1
Bark_P4;P4;Wild;Natural;Bark;Gammaproteobacteria;2
Bark_P5;P5;Wild;Natural;Bark;Gammaproteobacteria;2
Grape_P1;P1;Organic;Commercial;Grape;Bacilli;1
Grape_P2;P2;Organic;Commercial;Grape;Bacilli;3
Grape_P3;P3;Organic;Commercial;Grape;Bacilli;2
Grape_P4;P4;Organic;Commercial;Grape;Bacilli;5
Grape_P5;P5;Organic;Commercial;Grape;Bacilli;4
Grape_P1;P1;Organic;Commercial;Grape;Actinomycetia;3
Grape_P2;P2;Organic;Commercial;Grape;Actinomycetia;5
Grape_P3;P3;Organic;Commercial;Grape;Actinomycetia;2
Grape_P4;P4;Organic;Commercial;Grape;Actinomycetia;7
